x y label
2.2795 11 b
2.2935 11 b
2.304 8 b
2.293 23 b
2.3085 13 b
2.288 12 b
2.32 19 b
2.325 13 b
2.2925 13 b
2.2895 24 b
2.289 26 b
2.314 80 b
2.317 44 b
2.293 13 b
2.282 21 b
2.2845 15 b
2.319 13 b
2.323 16 b
2.289 12 b
2.3165 17 b
2.2925 12 b
2.2795 17 b
2.2985 51 b
2.3035 11 b
2.298 16 b
2.2755 25 b
2.3105 25 b
2.3015 11 b
2.279 17 b
2.2895 16 b
2.2895 17 b
2.321 21 b
2.292 14 b
2.3 11 b
2.302 12 b
2.306 14 b
2.321 11 b
2.2835 11 b
2.2895 21 b
2.2865 22 b
2.3035 19 b
2.3005 12 b
2.3215 6 b
2.3125 13 b
2.298 7 b
2.304 12 b
2.3045 14 b
2.3155 17 b
2.2975 59 b
2.2955 18 b
2.3155 18 b
2.2775 8 b
2.2995 10 b
2.2965 17 b
2.3205 137 b
2.301 16 b
2.295 237 b
2.2845 144 b
2.3055 10 b
2.2755 38 b
2.2785 30 b
2.3205 28 b
2.2985 11 b
2.2935 17 b
2.304 44 b
2.275 18 b
2.301 13 b
2.3215 45 b
