x y label
1.317 16 a
1.2985 18 a
1.313 13 a
1.288 28 a
1.3065 18 a
1.2835 16 a
1.288 39 a
1.2855 19 a
1.324 13 a
1.3195 27 a
1.325 31 a
1.318 78 a
1.296 46 a
1.3165 14 a
1.2985 23 a
1.3035 12 a
1.3095 11 a
1.303 15 a
1.2985 12 a
1.2825 17 a
1.2975 12 a
1.2845 19 a
1.302 47 a
1.292 17 a
1.293 25 a
1.313 33 a
1.275 32 a
1.283 16 a
1.276 23 a
1.298 22 a
1.3175 16 a
1.287 23 a
1.288 14 a
1.278 12 a
1.3125 15 a
1.275 13 a
1.3005 13 a
1.318 14 a
1.2925 25 a
1.275 28 a
1.275 23 a
1.293 11 a
1.2955 10 a
1.2915 12 a
1.297 11 a
1.285 15 a
1.2935 15 a
1.314 22 a
1.3145 65 a
1.3065 19 a
1.3065 18 a
1.288 11 a
1.3085 10 a
1.3065 24 a
1.3065 162 a
1.317 14 a
1.299 233 a
1.3175 138 a
1.291 13 a
1.2995 48 a
1.2945 36 a
1.3135 37 a
1.2825 12 a
1.2915 16 a
1.2805 45 a
1.3095 24 a
1.3055 18 a
1.299 51 a
