x y label
3.307 16 c
3.2955 9 c
3.2755 8 c
3.275 25 c
3.316 9 c
3.2885 12 c
3.3205 30 c
3.275 11 c
3.3085 6 c
3.2805 22 c
3.3145 23 c
3.312 74 c
3.2825 41 c
3.296 10 c
3.3075 21 c
3.275 15 c
3.316 12 c
3.2995 11 c
3.296 17 c
3.291 9 c
3.2945 12 c
3.29 17 c
3.293 36 c
3.296 53 c
3.313 14 c
3.3085 21 c
3.3225 25 c
3.277 9 c
3.314 18 c
3.308 15 c
3.323 7 c
3.2785 16 c
3.281 8 c
3.289 12 c
3.323 13 c
3.318 8 c
3.311 11 c
3.324 14 c
3.311 19 c
3.313 22 c
3.3245 18 c
3.2895 14 c
3.3205 12 c
3.3065 14 c
3.3055 6 c
3.3225 9 c
3.3085 15 c
3.2975 14 c
3.32 37 c
3.2815 19 c
3.279 19 c
3.2845 3 c
3.277 6 c
3.29 16 c
3.2785 155 c
3.281 18 c
3.2815 164 c
3.3055 152 c
3.31 13 c
3.3165 42 c
3.28 29 c
3.3195 27 c
3.3155 4 c
3.283 14 c
3.303 44 c
3.3245 25 c
3.275 13 c
3.2825 39 c
