x y label
4.3095 8 d
4.3185 9 d
4.3245 5 d
4.31 7 d
4.2995 9 d
4.2885 9 d
4.2885 18 d
4.316 11 d
4.2815 6 d
4.318 18 d
4.3245 2 d
4.2785 57 d
4.3035 29 d
4.304 9 d
4.3135 22 d
4.321 4 d
4.292 3 d
4.3195 8 d
4.2995 5 d
4.2805 9 d
4.282 4 d
4.301 18 d
4.2945 33 d
4.303 10 d
4.314 14 d
4.3075 22 d
4.3215 22 d
4.2885 9 d
4.3225 18 d
4.307 15 d
4.281 4 d
4.315 10 d
4.276 4 d
4.2975 3 d
4.3205 6 d
4.2995 8 d
4.3 10 d
4.3015 10 d
4.299 19 d
4.3 21 d
4.2975 16 d
4.3205 5 d
4.321 5 d
4.2865 5 d
4.2915 5 d
4.279 6 d
4.3135 7 d
4.3005 12 d
4.297 22 d
4.325 14 d
4.3215 13 d
4.305 3 d
4.302 3 d
4.2965 8 d
4.3135 33 d
4.305 10 d
4.319 112 d
4.276 22 d
4.2945 6 d
4.2905 26 d
4.2895 29 d
4.2925 19 d
4.3115 4 d
4.28 8 d
4.324 45 d
4.2835 18 d
4.314 12 d
4.2905 33 d
