x y label
2.3075 8 b
2.293 10 b
2.3215 9 b
2.322 10 b
2.3055 22 b
2.2905 13 b
2.276 10 b
2.275 13 b
2.29 13 b
2.302 31 b
2.2755 13 b
2.3165 10 b
2.285 10 b
2.288 16 b
2.322 25 b
2.3015 18 b
2.3185 20 b
2.2895 20 b
2.3075 17 b
2.2995 6 b
2.291 12 b
2.2755 21 b
2.321 9 b
2.313 11 b
2.317 12 b
2.314 16 b
2.3195 12 b
2.305 11 b
2.323 10 b
2.3065 49 b
2.3185 178 b
2.285 18 b
2.2945 85 b
2.319 34 b
2.2935 317 b
2.2885 8 b
2.3215 129 b
2.2895 16 b
2.2795 28 b
2.3 23 b
2.2805 21 b
2.3085 13 b
2.3015 9 b
2.3205 15 b
2.291 10 b
2.312 10 b
2.2775 17 b
2.314 22 b
2.3015 21 b
2.2965 12 b
2.3015 12 b
2.323 12 b
2.305 20 b
2.275 11 b
2.285 11 b
2.314 25 b
2.2995 100 b
2.291 36 b
2.3225 11 b
2.286 13 b
2.279 14 b
2.3205 20 b
2.3025 11 b
2.282 11 b
2.3115 59 b
2.2985 19 b
2.3 12 b
2.314 15 b
2.307 14 b
2.3 18 b
2.305 19 b
2.315 11 b
2.323 14 b
2.284 18 b
2.2955 18 b
