x y label
1.307 16 a
1.311 14 a
1.3185 16 a
1.2895 17 a
1.2855 27 a
1.32 13 a
1.282 12 a
1.286 14 a
1.278 12 a
1.3185 33 a
1.3065 19 a
1.3135 17 a
1.289 16 a
1.2925 22 a
1.3225 32 a
1.316 21 a
1.3155 26 a
1.304 20 a
1.3035 20 a
1.309 11 a
1.3215 17 a
1.3195 28 a
1.3115 11 a
1.2785 16 a
1.2955 17 a
1.3005 21 a
1.294 15 a
1.2975 19 a
1.3035 11 a
1.291 73 a
1.3095 165 a
1.302 18 a
1.325 97 a
1.3075 46 a
1.3045 298 a
1.2915 13 a
1.2855 137 a
1.2935 23 a
1.296 27 a
1.283 19 a
1.2865 20 a
1.288 17 a
1.3235 15 a
1.2795 20 a
1.3125 17 a
1.299 17 a
1.316 22 a
1.2835 23 a
1.315 20 a
1.318 17 a
1.315 17 a
1.3195 16 a
1.2965 20 a
1.315 17 a
1.2875 16 a
1.2805 29 a
1.2805 107 a
1.313 57 a
1.323 17 a
1.3105 16 a
1.2785 16 a
1.2755 21 a
1.2855 16 a
1.278 18 a
1.278 59 a
1.297 24 a
1.3165 15 a
1.315 25 a
1.324 17 a
1.291 23 a
1.2845 22 a
1.3145 24 a
1.2795 16 a
1.3145 19 a
1.295 18 a
