x y label
3.3215 9 c
3.3105 10 c
3.3205 10 c
3.318 11 c
3.288 20 c
3.3155 13 c
3.32 13 c
3.283 5 c
3.309 13 c
3.2945 32 c
3.296 13 c
3.294 13 c
3.2795 10 c
3.28 26 c
3.2965 24 c
3.291 17 c
3.3115 19 c
3.2985 20 c
3.288 20 c
3.2975 6 c
3.3125 11 c
3.286 23 c
3.322 9 c
3.2935 11 c
3.317 12 c
3.3115 14 c
3.3095 6 c
3.3105 10 c
3.2945 11 c
3.2955 46 c
3.306 149 c
3.3075 23 c
3.3095 66 c
3.2925 46 c
3.2795 124 c
3.303 10 c
3.277 119 c
3.297 16 c
3.3195 27 c
3.317 17 c
3.323 8 c
3.315 16 c
3.299 9 c
3.321 16 c
3.313 9 c
3.3215 12 c
3.293 17 c
3.3085 15 c
3.3065 12 c
3.3015 11 c
3.3145 12 c
3.315 13 c
3.296 14 c
3.311 13 c
3.314 11 c
3.305 24 c
3.2875 64 c
3.3205 35 c
3.3155 10 c
3.288 11 c
3.32 10 c
3.3015 18 c
3.2925 12 c
3.2875 11 c
3.289 64 c
3.3085 19 c
3.3035 12 c
3.2935 16 c
3.3015 14 c
3.299 21 c
3.286 15 c
3.3065 19 c
3.283 14 c
3.294 19 c
3.3165 19 c
