x y label
4.3145 5 d
4.307 3 d
4.2785 9 d
4.2865 9 d
4.277 18 d
4.317 6 d
4.292 5 d
4.2915 5 d
4.3 11 d
4.3175 24 d
4.308 12 d
4.2785 8 d
4.2985 8 d
4.3025 13 d
4.307 24 d
4.2855 12 d
4.305 20 d
4.2755 11 d
4.2975 18 d
4.3185 6 d
4.2985 9 d
4.2755 20 d
4.3055 4 d
4.3135 11 d
4.3035 9 d
4.294 14 d
4.323 5 d
4.275 3 d
4.2785 11 d
4.3125 36 d
4.2865 143 d
4.304 10 d
4.3175 32 d
4.282 10 d
4.275 220 d
4.2815 3 d
4.281 75 d
4.3145 16 d
4.307 27 d
4.284 6 d
4.2775 8 d
4.3085 12 d
4.32 8 d
4.304 11 d
4.315 9 d
4.3005 10 d
4.2845 17 d
4.3185 15 d
4.311 12 d
4.2945 10 d
4.3075 10 d
4.2975 9 d
4.302 14 d
4.3195 13 d
4.312 11 d
4.281 22 d
4.306 54 d
4.3115 15 d
4.3225 9 d
4.3115 11 d
4.3065 10 d
4.307 12 d
4.3095 5 d
4.2945 10 d
4.313 38 d
4.322 8 d
4.289 7 d
4.2995 14 d
4.31 9 d
4.2965 16 d
4.305 15 d
4.311 15 d
4.3045 7 d
4.2905 15 d
4.3215 11 d
