x y label
2.322 10 b
2.279 8 b
2.2985 19 b
2.2895 18 b
2.301 5 b
2.295 22 b
2.3185 9 b
2.323 10 b
2.313 5 b
2.2875 7 b
2.3215 13 b
2.313 13 b
2.3125 29 b
2.285 17 b
2.3145 11 b
2.2785 12 b
2.3075 12 b
2.28 47 b
2.279 6 b
2.315 6 b
2.302 10 b
2.283 10 b
2.316 10 b
2.3175 10 b
2.279 10 b
2.2945 8 b
2.298 8 b
2.3245 13 b
2.309 9 b
2.279 7 b
2.2765 13 b
2.302 24 b
2.3135 12 b
2.2885 18 b
2.3195 37 b
2.2815 10 b
2.3215 11 b
2.291 16 b
2.2785 13 b
2.29 15 b
2.3025 10 b
2.317 9 b
2.322 15 b
2.322 16 b
2.294 36 b
2.3115 17 b
2.32 10 b
2.3105 9 b
2.2875 9 b
2.3215 11 b
2.3035 13 b
2.311 13 b
2.3095 8 b
2.2845 79 b
2.315 13 b
2.3055 12 b
2.317 8 b
2.319 14 b
2.288 17 b
2.307 7 b
2.3215 16 b
2.3015 30 b
2.304 37 b
2.302 7 b
2.3215 11 b
2.3035 8 b
2.311 9 b
2.2975 9 b
2.3085 13 b
2.323 25 b
2.275 8 b
2.294 11 b
2.302 21 b
2.2835 15 b
2.3105 10 b
2.275 11 b
2.325 6 b
2.28 20 b
2.318 15 b
2.2875 10 b
2.2955 12 b
2.299 12 b
2.301 19 b
2.3205 10 b
2.3105 16 b
2.3205 22 b
2.3 13 b
2.293 7 b
2.2995 7 b
2.2985 15 b
2.286 11 b
2.288 12 b
2.3155 11 b
2.2945 31 b
2.285 62 b
2.308 13 b
2.2795 14 b
2.296 11 b
2.29 19 b
2.2775 18 b
2.286 14 b
2.3065 16 b
2.3055 13 b
2.3015 9 b
2.287 12 b
2.308 34 b
2.2835 9 b
2.28 12 b
2.2775 11 b
2.289 29 b
2.299 27 b
2.2955 98 b
2.315 12 b
2.3005 23 b
2.321 24 b
2.319 16 b
2.3135 65 b
2.295 9 b
2.291 145 b
2.2885 153 b
2.309 16 b
2.281 11 b
2.309 13 b
2.307 17 b
2.2945 27 b
2.317 9 b
2.3195 12 b
2.2855 8 b
2.3085 6 b
2.2895 7 b
2.319 6 b
2.3205 7 b
2.2865 11 b
2.3135 13 b
2.295 9 b
2.3225 7 b
2.2925 11 b
2.3165 13 b
2.3115 14 b
2.2915 12 b
2.3065 18 b
2.308 8 b
2.28 11 b
2.287 16 b
2.3085 17 b
2.316 12 b
2.2835 25 b
2.312 21 b
2.2875 14 b
2.299 14 b
2.3225 14 b
2.293 11 b
2.3085 10 b
2.2875 11 b
2.314 13 b
2.29 15 b
2.2935 8 b
2.2895 10 b
2.31 7 b
2.2925 12 b
2.2845 7 b
2.307 6 b
2.316 12 b
2.275 31 b
2.295 15 b
2.29 20 b
2.2805 10 b
2.3165 11 b
2.2815 14 b
2.2965 26 b
2.307 9 b
2.275 9 b
2.2875 18 b
2.307 17 b
2.3185 12 b
2.3075 9 b
2.298 16 b
2.307 13 b
2.3065 18 b
2.317 13 b
2.3195 9 b
2.31 8 b
2.3185 11 b
2.2985 11 b
2.324 22 b
2.318 13 b
2.29 13 b
2.3155 18 b
2.2915 14 b
2.3045 14 b
2.3125 40 b
2.304 15 b
2.323 20 b
2.2805 9 b
2.3065 11 b
2.317 12 b
2.3115 11 b
2.2905 12 b
2.324 10 b
2.2755 8 b
2.2795 7 b
