x y label
1.3245 15 a
1.29 16 a
1.299 20 a
1.3225 26 a
1.286 11 a
1.286 29 a
1.3035 11 a
1.297 16 a
1.318 11 a
1.297 13 a
1.288 18 a
1.325 16 a
1.2805 34 a
1.31 24 a
1.28 12 a
1.3115 14 a
1.275 15 a
1.286 55 a
1.31 12 a
1.2785 12 a
1.311 13 a
1.306 18 a
1.32 11 a
1.313 12 a
1.276 14 a
1.2785 15 a
1.3025 12 a
1.2875 17 a
1.2835 12 a
1.2835 12 a
1.32 18 a
1.319 30 a
1.3035 20 a
1.319 23 a
1.3165 41 a
1.313 17 a
1.3245 18 a
1.304 19 a
1.325 14 a
1.2795 18 a
1.3075 15 a
1.2815 14 a
1.3215 17 a
1.316 23 a
1.3065 45 a
1.278 22 a
1.3135 13 a
1.316 10 a
1.3125 14 a
1.279 16 a
1.3005 18 a
1.323 18 a
1.3245 14 a
1.3195 83 a
1.2885 20 a
1.3175 18 a
1.31 11 a
1.2965 19 a
1.3055 19 a
1.304 14 a
1.3135 18 a
1.2895 37 a
1.2905 35 a
1.285 13 a
1.299 14 a
1.283 10 a
1.276 11 a
1.313 10 a
1.3 11 a
1.315 33 a
1.285 13 a
1.3225 13 a
1.323 24 a
1.31 19 a
1.29 13 a
1.296 15 a
1.276 9 a
1.295 13 a
1.3205 23 a
1.305 16 a
1.302 18 a
1.2905 17 a
1.2825 28 a
1.3225 16 a
1.325 21 a
1.302 30 a
1.2905 17 a
1.3035 21 a
1.3155 24 a
1.309 20 a
1.299 20 a
1.3205 20 a
1.2965 15 a
1.2885 35 a
1.3075 77 a
1.2875 20 a
1.275 21 a
1.3085 19 a
1.2935 25 a
1.319 23 a
1.2945 21 a
1.3085 27 a
1.279 18 a
1.2935 14 a
1.2835 16 a
1.293 46 a
1.3215 17 a
1.3145 22 a
1.3195 15 a
1.3115 32 a
1.2875 25 a
1.2775 101 a
1.3185 20 a
1.292 30 a
1.3195 29 a
1.28 19 a
1.3175 69 a
1.281 16 a
1.2805 139 a
1.289 149 a
1.276 20 a
1.3235 15 a
1.293 19 a
1.2975 22 a
1.3175 30 a
1.3165 18 a
1.308 17 a
1.2805 14 a
1.289 12 a
1.311 12 a
1.283 13 a
1.3015 12 a
1.325 19 a
1.308 19 a
1.317 14 a
1.294 14 a
1.3005 14 a
1.303 17 a
1.3245 17 a
1.295 20 a
1.319 24 a
1.2955 12 a
1.288 13 a
1.2895 22 a
1.301 27 a
1.297 17 a
1.3025 32 a
1.319 24 a
1.3235 16 a
1.325 21 a
1.2805 19 a
