x y label
3.291 10 c
3.279 10 c
3.322 19 c
3.284 16 c
3.324 5 c
3.282 21 c
3.3135 6 c
3.3145 10 c
3.311 6 c
3.317 7 c
3.3145 14 c
3.304 13 c
3.276 31 c
3.318 19 c
3.3 12 c
3.32 7 c
3.3095 12 c
3.285 45 c
3.323 5 c
3.3055 4 c
3.32 11 c
3.313 11 c
3.286 11 c
3.3005 10 c
3.321 10 c
3.3105 7 c
3.295 9 c
3.3165 13 c
3.2885 9 c
3.2795 6 c
3.2895 10 c
3.3155 20 c
3.3175 13 c
3.3125 20 c
3.288 33 c
3.295 10 c
3.299 9 c
3.275 10 c
3.2975 9 c
3.282 15 c
3.277 8 c
3.296 9 c
3.293 15 c
3.279 11 c
3.2955 34 c
3.2885 10 c
3.3245 11 c
3.2865 10 c
3.3 10 c
3.314 11 c
3.2825 13 c
3.2815 17 c
3.2955 8 c
3.3225 50 c
3.311 11 c
3.2795 9 c
3.3025 6 c
3.3085 17 c
3.297 12 c
3.2895 11 c
3.316 11 c
3.3065 31 c
3.322 23 c
3.29 5 c
3.322 11 c
3.3065 8 c
3.28 13 c
3.292 3 c
3.2985 14 c
3.3215 24 c
3.2875 8 c
3.2995 11 c
3.2755 15 c
3.3195 15 c
3.2805 10 c
3.3145 10 c
3.2775 11 c
3.3025 17 c
3.293 15 c
3.2995 10 c
3.296 12 c
3.2755 12 c
3.2855 19 c
3.2965 11 c
3.324 16 c
3.3135 23 c
3.2865 11 c
3.301 7 c
3.287 13 c
3.2915 15 c
3.2765 7 c
3.2805 9 c
3.31 13 c
3.2955 26 c
3.28 41 c
3.277 17 c
3.32 15 c
3.3195 10 c
3.3055 19 c
3.2905 17 c
3.3215 15 c
3.3175 16 c
3.293 10 c
3.2965 9 c
3.3105 13 c
3.2915 35 c
3.301 9 c
3.313 13 c
3.2955 8 c
3.281 32 c
3.2935 26 c
3.2825 57 c
3.2815 11 c
3.3095 20 c
3.317 22 c
3.3065 13 c
3.3045 42 c
3.279 9 c
3.303 149 c
3.323 154 c
3.28 11 c
3.2875 7 c
3.2815 12 c
3.289 21 c
3.2855 26 c
3.311 9 c
3.275 12 c
3.3045 6 c
3.3185 8 c
3.325 7 c
3.291 6 c
3.2755 8 c
3.315 14 c
3.295 12 c
3.275 7 c
3.293 8 c
3.2985 8 c
3.309 13 c
3.3195 14 c
3.2965 12 c
3.3225 17 c
3.2865 8 c
3.319 10 c
3.277 28 c
3.303 31 c
3.3155 9 c
3.3225 25 c
3.2935 20 c
3.319 14 c
3.287 13 c
3.322 15 c
3.292 12 c
3.282 5 c
3.2905 11 c
3.291 9 c
3.307 18 c
3.2925 9 c
3.286 10 c
3.278 9 c
3.286 8 c
3.2875 7 c
3.3115 7 c
3.3215 15 c
3.2825 27 c
3.311 16 c
3.2945 20 c
3.29 10 c
3.284 11 c
3.295 12 c
3.322 21 c
3.2795 10 c
3.319 10 c
3.284 18 c
3.2835 16 c
3.314 12 c
3.301 10 c
3.3085 16 c
3.313 12 c
3.3225 17 c
3.276 14 c
3.302 10 c
3.317 5 c
3.31 8 c
3.3135 11 c
3.321 21 c
3.316 14 c
3.2755 15 c
3.2915 17 c
3.2865 15 c
3.299 15 c
3.278 43 c
3.286 16 c
3.2875 21 c
3.28 9 c
3.297 13 c
3.286 12 c
3.292 5 c
3.3195 4 c
3.289 9 c
3.282 8 c
3.277 11 c
3.2935 12 c
3.2875 12 c
3.2845 17 c
3.3135 16 c
3.312 9 c
3.3045 7 c
3.2875 10 c
3.305 8 c
3.2795 10 c
3.294 11 c
3.278 11 c
3.309 14 c
3.3085 12 c
3.3195 6 c
3.3165 11 c
3.28 16 c
3.301 10 c
3.3055 16 c
3.286 9 c
3.2805 13 c
3.2955 13 c
3.2795 9 c
3.281 18 c
3.298 13 c
3.3 30 c
3.3135 8 c
3.296 7 c
3.282 14 c
3.277 11 c
3.2775 6 c
3.3065 10 c
3.319 5 c
3.289 7 c
3.2895 6 c
3.3195 9 c
3.3105 7 c
3.3115 9 c
3.28 15 c
3.3045 12 c
3.2885 13 c
3.2755 8 c
3.3015 10 c
3.295 8 c
3.278 8 c
3.3245 10 c
3.318 12 c
3.3055 10 c
3.308 9 c
3.3075 14 c
3.283 12 c
3.32 18 c
3.3145 14 c
3.284 8 c
3.291 10 c
3.322 11 c
3.314 12 c
3.318 19 c
3.3095 9 c
3.3035 19 c
3.316 10 c
3.291 10 c
3.315 13 c
3.294 8 c
3.311 12 c
3.3155 9 c
3.301 6 c
3.2815 12 c
3.3055 6 c
3.2845 17 c
3.2945 13 c
3.323 9 c
3.288 13 c
3.302 29 c
3.2795 30 c
3.2845 11 c
3.285 9 c
3.324 10 c
3.2845 23 c
3.296 25 c
3.2815 442 c
3.3065 32 c
3.323 13 c
3.279 3 c
3.3005 13 c
3.314 9 c
3.304 29 c
3.321 40 c
3.311 14 c
3.2825 9 c
3.32 8 c
3.2905 10 c
3.29 12 c
3.3005 17 c
3.323 28 c
3.2765 17 c
3.314 28 c
3.2805 19 c
3.313 11 c
3.3065 24 c
3.314 13 c
3.3005 17 c
3.2995 28 c
3.28 23 c
3.308 2 c
3.319 8 c
3.293 3 c
3.286 6 c
3.309 12 c
3.304 64 c
3.293 47 c
3.322 18 c
3.3225 6 c
3.321 7 c
3.3205 19 c
3.275 24 c
3.2795 17 c
3.3125 15 c
3.279 17 c
3.305 24 c
3.295 16 c
3.317 17 c
3.317 2 c
3.301 7 c
3.319 25 c
3.317 16 c
3.2855 26 c
3.2855 30 c
3.2875 16 c
3.3205 12 c
3.296 13 c
3.312 15 c
3.2805 16 c
3.289 140 c
3.281 13 c
3.2885 11 c
3.2855 14 c
3.3065 30 c
3.2815 14 c
3.3205 17 c
3.3155 61 c
3.306 15 c
3.298 16 c
3.308 44 c
3.3 15 c
3.282 10 c
3.3115 9 c
3.298 11 c
3.2895 11 c
3.301 30 c
3.3195 31 c
3.289 10 c
3.2845 11 c
3.304 24 c
3.2835 17 c
3.316 21 c
3.3175 19 c
3.287 31 c
3.28 15 c
3.308 16 c
3.2985 17 c
3.3155 12 c
3.2955 16 c
3.293 16 c
3.279 10 c
3.304 14 c
3.2845 13 c
3.2995 13 c
3.3205 4 c
3.32 12 c
3.297 13 c
3.3115 15 c
3.2955 17 c
3.292 11 c
3.313 12 c
3.2945 13 c
3.2975 14 c
3.3065 22 c
3.3155 8 c
3.3215 17 c
3.3175 8 c
3.2925 10 c
3.2835 13 c
3.2885 8 c
3.316 10 c
3.3195 22 c
3.3135 12 c
3.289 12 c
3.285 14 c
3.321 27 c
3.296 28 c
3.2885 13 c
3.325 9 c
3.284 12 c
3.303 9 c
3.306 11 c
3.3155 18 c
3.2825 10 c
3.3035 13 c
3.2835 19 c
3.2855 20 c
3.3055 13 c
3.276 12 c
3.311 6 c
3.3085 12 c
3.3185 9 c
3.2775 10 c
3.275 9 c
3.2875 6 c
3.3005 12 c
3.295 8 c
3.322 6 c
3.2965 16 c
3.3195 21 c
3.2865 12 c
3.3075 7 c
3.301 10 c
3.318 10 c
3.2905 14 c
3.283 16 c
3.2925 8 c
3.307 16 c
3.2995 14 c
3.296 14 c
3.2785 11 c
3.31 10 c
3.304 19 c
3.3245 17 c
3.2825 7 c
3.288 12 c
3.3115 24 c
3.324 11 c
3.314 26 c
3.2865 11 c
3.302 50 c
3.2785 18 c
3.292 27 c
3.313 14 c
3.3005 16 c
3.296 14 c
3.3145 15 c
3.2805 10 c
3.2895 3 c
3.282 14 c
3.2905 13 c
3.278 16 c
3.294 14 c
3.291 19 c
3.2975 18 c
3.31 10 c
3.29 12 c
3.288 25 c
3.298 18 c
3.2985 6 c
3.3075 9 c
3.277 13 c
3.297 17 c
3.312 2 c
3.2815 8 c
3.285 13 c
3.306 19 c
