x y label
4.289 10 d
4.317 6 d
4.2775 8 d
4.275 16 d
4.3045 4 d
4.3025 12 d
4.275 2 d
4.2835 5 d
4.291 3 d
4.287 5 d
4.3215 8 d
4.322 12 d
4.2795 25 d
4.3205 12 d
4.3245 8 d
4.3105 7 d
4.284 12 d
4.3035 30 d
4.319 5 d
4.316 1 d
4.316 4 d
4.308 5 d
4.308 4 d
4.284 4 d
4.292 4 d
4.2755 2 d
4.306 7 d
4.29 13 d
4.2845 4 d
4.3175 2 d
4.295 10 d
4.3175 12 d
4.3245 12 d
4.2915 19 d
4.2825 27 d
4.321 7 d
4.279 4 d
4.3225 9 d
4.2765 7 d
4.275 15 d
4.299 8 d
4.3205 4 d
4.2895 11 d
4.313 7 d
4.3225 22 d
4.2875 10 d
4.3155 5 d
4.301 4 d
4.2855 6 d
4.2825 9 d
4.307 11 d
4.278 8 d
4.3105 7 d
4.321 46 d
4.287 11 d
4.286 9 d
4.303 6 d
4.31 8 d
4.2995 12 d
4.2775 9 d
4.2815 11 d
4.3025 14 d
4.2895 23 d
4.32 5 d
4.2805 6 d
4.2805 3 d
4.3065 4 d
4.307 3 d
4.3215 5 d
4.2835 26 d
4.318 6 d
4.2785 6 d
4.308 15 d
4.2845 11 d
4.304 4 d
4.318 6 d
4.278 2 d
4.294 3 d
4.3095 3 d
4.3225 8 d
4.2955 11 d
4.3055 11 d
4.31 9 d
4.303 8 d
4.2795 7 d
4.2855 23 d
4.293 6 d
4.2805 4 d
4.275 5 d
4.309 7 d
4.311 6 d
4.275 4 d
4.32 7 d
4.307 25 d
4.3155 36 d
4.315 14 d
4.2975 13 d
4.301 7 d
4.2905 7 d
4.2775 9 d
4.313 6 d
4.2955 5 d
4.2985 10 d
4.316 8 d
4.3155 13 d
4.275 13 d
4.324 7 d
4.305 13 d
4.276 4 d
4.294 22 d
4.278 11 d
4.3175 82 d
4.307 10 d
4.312 20 d
4.2995 13 d
4.324 13 d
4.2905 23 d
4.32 8 d
4.3195 149 d
4.3005 52 d
4.3245 11 d
4.294 2 d
4.3155 4 d
4.294 6 d
4.2895 5 d
4.2985 7 d
4.3225 10 d
4.32 6 d
4.3105 5 d
4.2965 4 d
4.2785 4 d
4.2935 4 d
4.322 11 d
4.3135 12 d
4.313 7 d
4.308 7 d
4.2845 8 d
4.3065 12 d
4.3085 7 d
4.3125 11 d
4.319 14 d
4.301 4 d
4.291 6 d
4.2855 17 d
4.284 9 d
4.2835 8 d
4.322 25 d
4.3 18 d
4.3125 10 d
4.318 13 d
4.298 3 d
4.3125 8 d
4.3115 5 d
4.278 7 d
4.287 4 d
4.3015 12 d
4.2765 5 d
4.2765 7 d
4.2995 2 d
4.2845 8 d
4.2855 6 d
4.3105 5 d
4.286 9 d
4.3155 22 d
4.3045 16 d
4.294 11 d
4.279 8 d
4.2985 5 d
4.3005 12 d
4.2795 10 d
4.3025 6 d
4.296 8 d
4.299 7 d
4.3015 16 d
4.2985 9 d
4.281 10 d
4.276 14 d
4.319 10 d
4.2935 13 d
4.297 10 d
4.322 9 d
4.321 5 d
4.284 8 d
4.325 7 d
4.3205 20 d
4.3205 14 d
4.275 10 d
4.324 16 d
4.2975 14 d
4.322 14 d
4.312 43 d
4.325 13 d
4.2865 18 d
4.294 7 d
4.2915 4 d
4.2825 7 d
4.291 4 d
4.3015 2 d
4.3045 6 d
4.312 8 d
4.3115 4 d
4.299 5 d
4.3145 12 d
4.285 4 d
4.3025 10 d
4.3225 8 d
4.325 7 d
4.308 7 d
4.2975 5 d
4.294 5 d
4.2925 5 d
4.3195 6 d
4.2835 5 d
4.317 2 d
4.311 4 d
4.3065 9 d
4.2765 15 d
4.3065 6 d
4.3085 11 d
4.2925 5 d
4.3195 10 d
4.2795 6 d
4.304 4 d
4.303 13 d
4.2815 13 d
4.314 21 d
4.317 6 d
4.302 7 d
4.324 7 d
4.2935 8 d
4.3205 6 d
4.2845 8 d
4.3135 5 d
4.3045 4 d
4.3085 6 d
4.325 9 d
4.2805 3 d
4.278 9 d
4.3005 11 d
4.316 7 d
4.292 12 d
4.3025 8 d
4.305 7 d
4.2955 8 d
4.322 5 d
4.315 1 d
4.2985 12 d
4.3175 10 d
4.2945 3 d
4.284 7 d
4.3075 12 d
4.3015 18 d
4.3215 14 d
4.2995 8 d
4.3015 10 d
4.2835 8 d
4.3095 12 d
4.284 11 d
4.299 9 d
4.3195 16 d
4.322 10 d
4.283 2 d
4.2795 5 d
4.31 5 d
4.3025 2 d
4.307 9 d
4.307 6 d
4.2875 6 d
4.2985 6 d
4.2875 18 d
4.3025 9 d
4.2895 9 d
4.2935 12 d
4.311 22 d
4.2935 25 d
4.305 10 d
4.3145 9 d
4.286 10 d
4.3115 21 d
4.2785 24 d
4.324 29 d
4.319 28 d
4.302 13 d
4.3085 3 d
4.3085 8 d
4.3045 4 d
4.283 21 d
4.288 47 d
4.3225 8 d
4.289 7 d
4.3065 3 d
4.324 4 d
4.275 10 d
4.2995 17 d
4.295 20 d
4.279 14 d
4.319 28 d
4.285 14 d
4.2865 8 d
4.304 24 d
4.2905 12 d
4.275 14 d
4.275 31 d
4.297 23 d
4.288 2 d
4.287 5 d
4.3015 2 d
4.2905 6 d
4.3035 10 d
4.278 54 d
4.319 43 d
4.3205 6 d
4.2975 6 d
4.2895 7 d
4.2955 6 d
4.2865 16 d
4.3195 15 d
4.303 9 d
4.3195 5 d
4.29 14 d
4.3095 6 d
4.3025 12 d
4.2825 2 d
4.285 6 d
4.2985 12 d
4.3045 4 d
4.3195 19 d
4.312 25 d
4.279 16 d
4.286 10 d
4.309 13 d
4.278 15 d
4.3225 13 d
4.28 17 d
4.3225 8 d
4.2965 5 d
4.2855 9 d
4.298 16 d
4.2985 7 d
