x y label
2.2955 10 b
2.292 8 b
2.2825 14 b
2.322 10 b
2.304 13 b
2.287 8 b
2.2795 9 b
2.29 46 b
2.294 8 b
2.313 50 b
2.314 9 b
2.2765 17 b
2.309 8 b
2.289 8 b
2.2925 3 b
2.2945 7 b
2.323 11 b
2.2995 9 b
2.311 16 b
2.2935 11 b
2.277 9 b
2.2865 7 b
2.275 11 b
2.323 13 b
2.279 13 b
2.299 9 b
2.31 12 b
2.287 7 b
2.315 10 b
2.2915 6 b
2.307 6 b
2.285 7 b
2.2885 11 b
2.284 8 b
2.2865 9 b
2.301 8 b
2.3175 8 b
2.2775 8 b
2.303 6 b
2.289 8 b
2.294 5 b
2.2915 6 b
2.3165 9 b
2.278 10 b
2.2985 15 b
2.3025 7 b
2.3245 7 b
2.3115 9 b
2.311 9 b
