x y label
1.307 13 a
1.3205 12 a
1.282 15 a
1.3225 12 a
1.3145 12 a
1.291 9 a
1.3225 10 a
1.287 56 a
1.278 8 a
1.325 56 a
1.291 14 a
1.286 17 a
1.297 9 a
1.3145 9 a
1.3175 8 a
1.2855 9 a
1.3045 15 a
1.297 13 a
1.2885 19 a
1.325 10 a
1.324 11 a
1.2845 10 a
1.316 10 a
1.314 11 a
1.296 12 a
1.3145 9 a
1.2955 10 a
1.3105 8 a
1.3225 8 a
1.3235 8 a
1.3135 8 a
1.3005 8 a
1.288 10 a
1.277 11 a
1.305 9 a
1.286 8 a
1.2835 9 a
1.315 8 a
1.3135 9 a
1.307 8 a
1.314 9 a
1.2965 8 a
1.304 12 a
1.319 10 a
1.2935 20 a
1.304 9 a
1.321 9 a
1.3025 15 a
1.3155 11 a
