x y label
3.2755 8 c
3.3015 8 c
3.29 14 c
3.277 5 c
3.289 9 c
3.2915 8 c
3.302 9 c
3.3145 50 c
3.28 2 c
3.3205 43 c
3.2835 17 c
3.3085 17 c
3.322 3 c
3.3065 9 c
3.313 2 c
3.3055 7 c
3.2755 11 c
3.308 8 c
3.319 16 c
3.3185 4 c
3.289 10 c
3.3165 3 c
3.322 7 c
3.2925 13 c
3.293 14 c
3.3015 4 c
3.294 7 c
3.3015 1 c
3.2975 4 c
3.2985 2 c
3.275 3 c
3.3225 4 c
3.2975 12 c
3.2765 11 c
3.2965 2 c
3.317 2 c
3.3055 2 c
3.324 1 c
3.303 7 c
3.2985 8 c
3.2855 7 c
3.2895 2 c
3.3005 10 c
3.29 10 c
3.3175 14 c
3.314 5 c
3.2825 2 c
3.295 9 c
3.306 10 c
