x y label
4.3225 8 d
4.2905 5 d
4.31 8 d
4.2755 5 d
4.286 5 d
4.291 5 d
4.3075 8 d
4.302 43 d
4.301 1 d
4.283 51 d
4.307 9 d
4.286 11 d
4.291 3 d
4.279 2 d
4.285 1 d
4.307 3 d
4.304 7 d
4.322 8 d
4.301 14 d
4.3075 4 d
4.281 5 d
4.2965 3 d
4.303 4 d
4.275 6 d
4.2875 6 d
4.293 2 d
4.3075 4 d
4.2755 1 d
4.306 2 d
4.2965 2 d
4.311 2 d
4.297 2 d
4.2985 3 d
4.32 6 d
4.3035 2 d
4.2805 2 d
4.285 1 d
4.3135 1 d
4.2905 2 d
4.282 1 d
4.312 3 d
4.285 2 d
4.303 5 d
4.309 7 d
4.28 11 d
4.3205 2 d
4.277 2 d
4.3235 6 d
4.319 4 d
