Bin motorwayMLR motorwayEL motorwayRPROP motorwaySMS trunkMLR trunkEL trunkRPROP trunkSMS primaryMLR primaryEL primaryRPROP primarySMS aMLR aEL aRPROP aSMS bMLR bEL bRPROP bSMS minorMLR minorEL minorRPROP minorSMS
0 1.4 2.4 3.4 4.4 1.4 2.4 3.4 4.4 1.4 2.4 3.4 4.4 1.4 2.4 3.4 4.4 1.4 2.4 3.4 4.4 1.4 2.4 3.4 4.40082987551867
1 1.4 2.4 3.43225806451613 4.49677419354839 1.4 2.4 3.4 4.4 1.4 2.4 3.4 4.4 1.4 2.4 3.4 4.4 1.4 2.4 3.4 4.4 1.4 2.4 3.4 4.40165975103734
2 1.4 2.4 3.52903225806452 4.59354838709677 1.4 2.4 3.4 4.4 1.4 2.4 3.4 4.4 1.4 2.4 3.4 4.40819672131148 1.4 2.4 3.4 4.4 1.4 2.4 3.4 4.41576763485477
3 1.4 2.41612903225806 3.44838709677419 4.48064516129032 1.4 2.4 3.4 4.4 1.4 2.4 3.4 4.42272727272727 1.4 2.4 3.40819672131148 4.4327868852459 1.4 2.4 3.4 4.41630434782609 1.4 2.40165975103734 3.4 4.41659751037344
4 1.4 2.4 3.46451612903226 4.46451612903226 1.4 2.4 3.4 4.4 1.4 2.4 3.4 4.43409090909091 1.4 2.4 3.40819672131148 4.44098360655738 1.4 2.4 3.4 4.4054347826087 1.4 2.4 3.4 4.43153526970954
5 1.4 2.41612903225806 3.43225806451613 4.49677419354839 1.4 2.4 3.45555555555556 4.62222222222222 1.4 2.4 3.44545454545455 4.45681818181818 1.4 2.4 3.4 4.44918032786885 1.4 2.4 3.4054347826087 4.42717391304348 1.4 2.40414937759336 3.4 4.43734439834025
6 1.4 2.46451612903226 3.4 4.46451612903226 1.4 2.4 3.56666666666667 4.56666666666667 1.4 2.41136363636364 3.42272727272727 4.41136363636364 1.4 2.40819672131148 3.42459016393443 4.4327868852459 1.4 2.4054347826087 3.41086956521739 4.41630434782609 1.4 2.40829875518672 3.4 4.450622406639
7 1.4 2.49677419354839 3.48064516129032 4.43225806451613 1.4 2.4 3.4 4.56666666666667 1.4 2.43409090909091 3.42272727272727 4.41136363636364 1.4 2.40819672131148 3.40819672131148 4.41639344262295 1.4 2.4 3.4 4.41086956521739 1.4 2.41410788381743 3.4 4.45145228215768
8 1.57741935483871 2.56129032258064 3.48064516129032 4.46451612903226 1.4 2.56666666666667 3.51111111111111 4.51111111111111 1.4 2.42272727272727 3.43409090909091 4.41136363636364 1.4 2.41639344262295 3.42459016393443 4.44098360655738 1.4 2.41086956521739 3.4054347826087 4.42717391304348 1.4 2.4207468879668 3.4 4.45560165975104
9 1.57741935483871 2.54516129032258 3.46451612903226 4.41612903225807 1.4 2.62222222222222 3.67777777777778 4.45555555555556 1.4 2.45681818181818 3.43409090909091 4.45681818181818 1.4 2.4 3.44098360655738 4.44918032786885 1.4 2.41630434782609 3.42173913043478 4.44347826086957 1.40497925311203 2.4298755186722 3.4 4.45311203319502
10 1.51290322580645 2.46451612903226 3.46451612903226 4.4 1.4 2.62222222222222 3.45555555555556 4.4 1.41136363636364 2.46818181818182 3.44545454545455 4.45681818181818 1.41639344262295 2.41639344262295 3.40819672131148 4.44098360655738 1.4 2.44347826086957 3.43804347826087 4.43804347826087 1.40912863070539 2.43070539419087 3.4 4.46058091286307
11 1.46451612903226 2.46451612903226 3.43225806451613 4.43225806451613 1.4 2.45555555555556 3.45555555555556 4.51111111111111 1.45681818181818 2.42272727272727 3.45681818181818 4.44545454545455 1.4327868852459 2.4655737704918 3.42459016393443 4.40819672131148 1.41630434782609 2.44347826086957 3.44347826086957 4.44347826086957 1.41244813278008 2.44979253112033 3.4 4.44647302904564
12 1.48064516129032 2.41612903225806 3.41612903225806 4.4 1.62222222222222 2.45555555555556 3.51111111111111 4.45555555555556 1.45681818181818 2.42272727272727 3.42272727272727 4.42272727272727 1.44918032786885 2.44918032786885 3.44098360655738 4.41639344262295 1.41086956521739 2.43804347826087 3.43260869565217 4.42717391304348 1.42157676348548 2.43485477178423 3.4 4.45643153526971
13 1.43225806451613 2.44838709677419 3.41612903225806 4.4 1.62222222222222 2.51111111111111 3.4 4.4 1.43409090909091 2.45681818181818 3.44545454545455 4.43409090909091 1.44098360655738 2.45737704918033 3.42459016393443 4.40819672131148 1.41086956521739 2.43260869565217 3.43804347826087 4.41086956521739 1.42572614107884 2.43153526970954 3.4 4.4448132780083
14 1.41612903225806 2.41612903225806 3.44838709677419 4.41612903225807 1.56666666666667 2.51111111111111 3.45555555555556 4.45555555555556 1.42272727272727 2.45681818181818 3.43409090909091 4.42272727272727 1.4327868852459 2.42459016393443 3.44918032786885 4.41639344262295 1.41086956521739 2.41630434782609 3.42173913043478 4.41630434782609 1.43319502074689 2.42738589211618 3.4 4.43236514522822
15 1.44838709677419 2.41612903225806 3.4 4.4 1.45555555555556 2.4 3.45555555555556 4.4 1.42272727272727 2.41136363636364 3.42272727272727 4.41136363636364 1.4327868852459 2.40819672131148 3.42459016393443 4.40819672131148 1.41630434782609 2.41086956521739 3.41086956521739 4.42717391304348 1.42655601659751 2.41244813278008 3.4 4.42572614107884
16 1.4 2.41612903225806 3.41612903225806 4.4 1.45555555555556 2.4 3.4 4.4 1.45681818181818 2.43409090909091 3.4 4.42272727272727 1.44098360655738 2.4327868852459 3.42459016393443 4.40819672131148 1.45434782608696 2.41630434782609 3.42173913043478 4.41086956521739 1.43153526970954 2.41991701244813 3.4 4.42821576763486
17 1.41612903225806 2.41612903225806 3.43225806451613 4.4 1.56666666666667 2.4 3.4 4.4 1.42272727272727 2.42272727272727 3.42272727272727 4.42272727272727 1.41639344262295 2.45737704918033 3.41639344262295 4.4 1.46521739130435 2.41086956521739 3.41630434782609 4.4054347826087 1.42655601659751 2.41244813278008 3.4 4.42323651452282
